actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.06908771395683289,0.0
-0.0718885213136673,-0.0006115537835285068
-0.07375572621822357,-0.0009511903626844287
-0.07562292367219925,-0.0012953077675774693
-0.08231135457754135,-0.001652038423344493
-0.08627808094024658,-0.0021568548399955034
-0.0882614403963089,-0.00263263494707644
-0.09123647958040237,-0.003074728650972247
-0.09520316869020462,-0.003579441225156188
-0.09851530194282532,-0.004154544789344072
-0.10249559581279755,-0.004740005359053612
-0.10747094452381134,-0.005403230898082256
-0.11344131827354431,-0.006179635878652334
-0.11841660737991333,-0.007078640628606081
-0.12584461271762848,-0.007989312522113323
-0.13289155066013336,-0.009156444109976292
-0.13993841409683228,-0.010400989092886448
-0.14597854018211365,-0.011743674986064434
-0.15403196215629578,-0.013113899156451225
-0.16309194266796112,-0.014796151779592037
-0.15489612519741058,-0.01673029363155365
-0.16214215755462646,-0.016934989020228386
-0.16938813030719757,-0.018857091665267944
-0.17663399875164032,-0.02091575413942337
-0.1838797926902771,-0.023114114999771118
-0.19743956625461578,-0.025444146245718002
-0.20496012270450592,-0.02884165570139885
-0.2124805897474289,-0.031556546688079834
-0.21812087297439575,-0.0344017893075943
-0.22470109164714813,-0.04002425819635391
-0.22936350107192993,-0.04171960428357124
-0.23573365807533264,-0.044642966240644455
-0.24119369685649872,-0.04785097762942314
-0.24574369192123413,-0.05096761882305145
-0.26237788796424866,-0.05398469418287277
-0.2671300768852234,-0.05982814356684685
-0.27093181014060974,-0.0631183311343193
-0.2756839096546173,-0.06624943763017654
-0.2794855535030365,-0.06966200470924377
-0.2832871675491333,-0.0728832483291626
-0.311274915933609,-0.07614558190107346
-0.3153965175151825,-0.08614402264356613
-0.3184877038002014,-0.08975143730640411
-0.3195180892944336,-0.0930451974272728
-0.3195180892944336,-0.09567483514547348
-0.26082804799079895,-0.09789471328258514
-0.26082804799079895,-0.0816517323255539
-0.26082804799079895,-0.08332706987857819
-0.26082804799079895,-0.08493797481060028
-0.26082804799079895,-0.08648692071437836
-0.24041633307933807,-0.08796070516109467
-0.24041633307933807,-0.0823822021484375
-0.2396358996629715,-0.08362378180027008
-0.23807501792907715,-0.0845135971903801
-0.23729458451271057,-0.08505818247795105
-0.30644071102142334,-0.0857863500714302
-0.3033873438835144,-0.11198503524065018
-0.1999959945678711,-0.11195269227027893
